clusterno,,docNo,raw_doc
-1,0,860_0,하이트는 우선 제일 흔하게 접할 수 있는 맥주 브랜드이다
-1,1,9601_1,진함과 부드러움의 조화가 좋아서 향이며 맛이 캔맨주 중 가장 뛰어나다고
-1,2,8913_1,한번 들었을때 기억하기 쉬운 이름이다
-1,3,9614_4,했던 기억이 나서 슈퍼에서나 마트에서 살때 하이트를 사게 됩니다
-1,4,2149_2,맛있게 마신 기억이 있음
-1,5,6110_1,저렴한 브랜드 친숙한느낌 하이트에 비해 청량감이 있음
-1,6,7041,여자친구가 좋아하더라고요 하이트나 카스나 거의 비슷한데 맛이 깨끗하다나 전 사실 잘 모르겠어요
-1,7,10002_1,뭔가 부족한것같은데 그나마 하이트가 맛이 가장 진해서
-1,8,6345_2,쉽게 취하지 않아 시원하게 마시기에 좋습니다
-1,9,5171_1,먹을때 목넘김이나 개인적으로 좋은 맛을 가지고있음
-1,10,9628_1,톡톡 쏘면서 상쾌한 맛이 상표랑 잘 어울린다고
-1,11,3948_0,스타우트 맥주는 흑맥주 로서 입에 넣어 넘겼을 때 거품이 있어서 인지 톡 쏘지 않고
-1,12,6007,맛있어서 브랜드도 좋아보임
-1,13,9936_1,상표이름대로 라이트해서 먹기 편하다
-1,14,4422,특유의 목넘김과 캔맥주 가공공법 때문인지 신선한맛이 느껴진다
-1,15,3685,탄산과 알콩함량이 적어서 간단하게 한잔하기 좋다
-1,16,490,톡톡쏘는 맛이 좋으니 당연 카스만 찾을 수 밖에
-1,17,1278_5,텁텁한 끝 맛이 좋아 항상 즐겨 마신다
-1,18,1279_0,선명하면서 깨끗한 이미지의 별이 시원함과 어울린다고
-1,19,5340_0,일단 술을 그닥 즐기지 않는 저는 하이네켄의 상표 칼라가 너무 좋고
-1,20,10204_1,많이 바왔지만 로고가 크게 변화가 있지 않아서 한눈에 알아 볼 수 있는 점이 좋다
-1,21,1144,젤유명한듯해서
-1,22,7754,광고도 많이 나오고그냥 대중적이다쉽게 구할수있다
-1,23,8214,카스를 마시는 젤 중요한 이유는 맛이겠죠 깔끔한 맛이 계속 마시게 하는거 같습니다 
-1,24,3957_0,부드러으며 타 맥주에 비해서 도수가 상대적으로 낮다고
-1,25,8518_1,보리 함량이 젤 많아서 부드러워요
-1,26,10269_4,취향보다는 익숙 해서 좋은 것같다
-1,27,7614,브랜드 이미지와 청량감 톡쏘는 느낌과 부드러운 식감의 어우러짐이 좋다
-1,28,2025,카스는 라는 말이 주는 청량함이 느껴져서 시원한 맥주에 이미지가 생각나서 좋아하는것 같습니다
-1,29,1947_1,온도가 올라가도 끝맛이 그리 무겁지도 않게 유지되고
-1,30,7360,시원한 청량감때문에거품도 많이 없어서 좋다
-1,31,697_1,쉽게 접할 후 있으면 가격도 부담없음 톡쏘는 맛도 괜찮음
-1,32,2613,대중적으로 많이 판매되는거같다
-1,33,860_1,광고에서도 보면 유명 연예인들을 기용하기 때문에 먼저 눈이 가고
-1,34,7734,친구들과 한잔할때 시원함 을 느낀다
-1,35,207_3,하이트에 비해 병에서 비린내오줌냄새 비슷한가 안난다
-1,36,5426,흑맥을 연상시키는 블랙계열의 상표라서 보는이로 하여금 맥주를 마시기도 전에 느낌을 주는 상표이다
-1,37,6950_1,뒷끝이 없으며 보리의 맛이 적절하다
-1,38,7662_1,시원한 점이 맘에 듭니다
-1,39,3341,KGB맥주를 몇 번 먹어보았는데 그 특유의 레몬 맛이 참 좋았다
-1,40,3106,부드러우면 맥주 특유의 맛이 잘 느껴저서
-1,41,7139_2,하이트는 반대로 너무 연해서 적당한 청량감과 마신후에는 깊은맛이 우러나오는 맥스를 좋아하게 되었다
-1,42,5096_0,집근처마트에서 캔으로 사기 굅65533 밤늦게 괜히 맥주한잔 생각나면 마시고는 싶은데 이왕이면 늦은밤 칼로리 조65533655336553365533 낮은 거 먹고
-1,43,7140_1,맛이 가벼우면서도 다양한 광고로 친숙하다
-1,44,509,요즘음 맛이 좀 떨어졌지만 예전엔 맛이 좋았음 그래서 좋아했었음
-1,45,3195_4,국산 브랜드 중엔 맥스가 소주맛유사한 맛이 덜해서 호가든 다음으로 즐겨 먹습니다
-1,46,7686_1,부드러움과 잘 조화되어 있는 시원함이 마음에 든다
-1,47,2215,부드러운 맛과 향 저렴한 가격
-1,48,4087_1,병과 유리잔의 조화를 좋아하는거 같다
-1,49,2730_1,또 오래된 브랜드라서 신뢰가 가기 때문에 맛도 신뢰도가 높아서 그런지 맛있다고
-1,50,1301_0,과일맛이 첨가되어있어서 음료수처럼 마신다
-1,51,9595_0,가격이 싼 게 영향이 크고
-1,52,5617_2,정확한 이름이 생각이 안나지만삿포로에서 나온건 맞음
-1,53,416_1,그전에는 카스를 마셨는데 톡쏘는 맛이 카스보다는 약간만 덜하면서도 부드럽다
-1,54,267_2,좋아하는 다른 맥주에는 특유의 향이 있어 기분에 따라 좋을때가 있고
-1,55,7562_0,그냥 제가 마셧을때 입맛에 제일 잘맞는거같아요 무난하게 여기저기 다
-1,56,3538_1,국산맥주와는 다른 독특한맛을가지고있다
-1,57,2992_0,부드러움 목넘김과 맥주의 씁쓸한 맛이 다른 맥주와는 조금 다른 독특한 맛인데 개인적으로 매우 맛있다고
-1,58,339,달콤함을가진 음료같으면서도 알콜을가지고있는 묘미
-1,59,1626,한번 마셔 봤는데 고급스러운 브랜드 느낌에 맛도 좋아서
-1,60,1797,고구마맛같은 고소한 맛이 좋아서
-1,61,6653_1,난 뒤에 시원하게 한잔 했을 때 제일 깔끔하다고
-1,62,3418_0,보리의 고소함과 홉의 쓴맛이 적당히 어울리고
-1,63,5832_0,평상시 먹던 국산맥주와는 다른 색다른 맛에 반해서 처음에 즐겨찾게 되었는데 나중에 드라이피니쉬가 나오고나서부터는 가격이 저렴하고
-1,64,5136,처음 먹어본 수입 맥주였는데 맛이 부드러워서 더 인상적이었다
-1,65,7733_1,일반 사람들이 가장 많이 찾는 맥주 상품 이라서 무난하고
-1,66,2504_1,언제나 만족스럽다
-1,67,9009_1,맛있는 하이네켄의 좋은 기억이 호감도를 높여줌
-1,68,679,어디서나 쉽게 접할 수 있어서 익숙해져서 좋아하는 것 같다
-1,69,2193,처음부터 먹던 술이라 적응 되서인지 다른 맥주의 향과 맛이 시르다
-1,70,7678_5,그만큼 유통업체와도 많이 친해져 있는 카스가 대중들에게 친숙해지는 건 당연한 것 같습니다
-1,71,8186_2,한국의 맥주는 거의 비슷하게 느껴지지만 기린을 마실때는 다른 맛을 느낄수 있어서 좋다
-1,72,7098_0,주변에서 다들 카스가 맛있다고
-1,73,550_1,다른 것에 비해 입에 맞는거 같음 시원하면서 깔끔하다고
-1,74,9084_2,하이트맥주만의 특유 진하지 않은 맛이 있다
-1,75,2316_0,청량감과 톡쏘는 맛이 약간 떨어지긴 하지만 기존의 카스보다
-1,76,7652_0,대중적인맛과 광고의 효과도 무의식적으로 내게 많은 긍정의 영향을 주었다고
-1,77,6447_1,먹기에 깔끔하며 음용량 사이즈 가 적당하다
-1,78,1232_5,친숙함이 선택하는 가장 큰 원인인듯 싶습니다
