clusterno,,docNo,raw_doc
0,0,1024,효과가 있다
0,1,1666,효과가 그다지..
0,2,1155,효과있다
0,3,388,효과가 있어서
0,4,2438,효과가 있어서
0,5,449,효과 별로
0,6,393,효과가 좋다
0,7,780,효과가 있으니까
0,8,1172,효과가 그리 좋지 않아서
0,9,1173,"효과가 바로 와닿지가 않는다.  
"
0,10,1292,효과가 좋다
0,11,665,효과가있다
0,12,137,효과가 좋아서
0,13,516,효과가 좋음
0,14,157,효과가 별로
0,15,1182,효과가 좋아서
0,16,287,큰효과는 아직 잘 모르겠ㄸ다
0,17,1189,효과가 좋음
0,18,2728,효과가 좋다
0,19,541,효과가 좋다
0,20,1011,효과가 좋아서
0,21,1054,효과를 봤다.
0,22,2359,효과가 딱히 없음
0,23,2783,효과좋음
0,24,61,효과가좋다
0,25,1472,효과가 좋음
0,26,65,효과가좋다
0,27,211,효과가 좋다
0,28,73,효과가 좋아서
0,29,1719,효과가 좋아서
0,30,1490,효과가 좋았었다
0,31,2259,큰 효과를 보지는 못함.
0,32,213,효과적임
0,33,90,효과가 있다
0,34,990,효과가 좋았다.
0,35,37,큰 효과가 없었음
0,36,2828,신속셩 효과
0,37,738,효과가 있었다
0,38,486,크게 효과를 보지 못해서
0,39,746,효과가 좋다
0,40,1389,효과가 좋았음
0,41,495,효과가 있음
0,42,595,효과가 별로
0,43,631,효과가 좋기떄문에
0,44,2424,효과좋음
0,45,511,효과가 있어서
0,46,2174,효과
0,47,1109,효과있어서
1,0,114,효과가 오래 지속되지 않아서
1,1,2235,지속성
1,2,2667,효과가 지속되지않아서
1,3,42,지속성
1,4,1019,효과가 지속적이지 않다
1,5,2077,지속성이 좋다
2,0,544,효과가 금방 나타난다
2,1,419,효과가 바로 나타난다
2,2,1060,효과가 바로 나타나서 좋았다.
2,3,2213,효과가 즉각 나타나서
2,4,700,효과가 잘 나타나서
2,5,83,효과가 즉시 나타나서
2,6,1524,효과가 즉시 나타났다
2,7,1113,바로 효과가 나타나서
2,8,404,효과가 바로나타남
