clusterno,,docNo,raw_doc
0,0,8828,시원하다
0,1,2951,시원한맛
0,2,8632,시원
0,3,8448,ㅈ다른 것 보다 더 시원한 맛이 난다
0,4,10013,"병을 딸때 시원하게 펑하는 소리가 나고, 맛도 좋은 것 같다"
0,5,5086,시원하고 탁 쏘는 맛이 봏아서
0,6,9394,시원함
0,7,8762,시원해서
0,8,5763,시원한 맛
0,9,7968,맛이시원하다
0,10,908,시원함
0,11,297,시원한 맛
0,12,1554,톡 쏘고 시원하다
0,13,5961,쌉살함 깔금함 시원함
0,14,3432,시원해서
0,15,7292,시원하다
0,16,2549,시원합
0,17,7396,톡쏘는 맛이 시원함.
0,18,1014,톡쏘는 맛이 있다 그리고 시원하다
0,19,5772,시원하고 맛이좋다
0,20,8129,시원한맛
0,21,4148,시원한맛
0,22,7057,시원해서
0,23,4203,시원해요~
0,24,3651,시원한 맛과 쌉싸름한 맛이 좋음
0,25,6459,시원하다
0,26,6809,시원함
0,27,2446,시원하다
0,28,9155,맛이 시원해서
0,29,4528,시원하다
0,30,6088,시원하다
0,31,6316,시원하다
0,32,4564,목넘깅이 좋은 거 같고 시원함
0,33,3333,톡쏘는 시원함
0,34,10344,시원함
0,35,8856,시원함
0,36,9480,시원함
0,37,6619,시원해서
0,38,4042,시원해서
0,39,8584,끝맛이 시원하다
0,40,9567,시원해 보여서
0,41,3351,시원하다
0,42,6368,시원함
0,43,8203,맛이 깊고 더 시원해서
0,44,9274,맛이 시원하고 쓰지않아서
0,45,2526,시원함
0,46,2724,시원한 맛
0,47,4745,시원함
0,48,2465,시원한맛
0,49,9027,시원해서
0,50,3977,시원함.
0,51,8379,맛이 시원하다
0,52,1954,시원함
0,53,8663,시원해서
0,54,6220,시원한 맛
0,55,6203,톡쏘는 맛이 있고 시원하다
0,56,9195,시원함
0,57,1898,시원한맛
0,58,3608,시원한 톡쏘는 맛이있다.
0,59,4328,가장 시원하다.
0,60,10076,시원하다
0,61,9526,시원하다
0,62,794,맛이 시원하다
0,63,2159,시원함
0,64,3360,맛잇다 시원하다
0,65,5012,시원해서
0,66,4060,시원하다
0,67,64,시원하고 더무 쓰지 않다
0,68,8392,시원해보여서
