no,응답값
2,씁쓸한 맛이 좋다. 톡쏘는 느낌이 좋다.
3,시원함
4,칼로리가 낮아서 많은 양을 먹어도 무리가 없음    맥주를 많이 마시는 편이기 때문에 배가 안 부른 맥주가 좋음
5,칼로리 걱정을 조금 덜 할 수 있고 가볍게 마시기 참 좋다
6,레몬맛이 좋아서
7,내가 좋아하는 맛이다. 맥주의 고소한 맛과 탄산이 적절하게 들어가있다.
8,가벼운맛
9,맛이 깔끔함
10,다른 맥주와 차별화 된 맛.
11,"브랜드 이미지, 즉 젊은 남자의 이미지를 가졌으며 맛또한 뛰어나다 특히 깔끔한 뒷맛이 좋다"
12,맥주거품맛이 부드럽다
13,부드러워서
14,맛있어요
15,목넘김이 부드러워서
16,맛이있어서
17,톡쏘는 맛이 좋아서
18,맛을 좋아해서 그 상표를 찾는다. 페트병맥주중에서는 선호 하는 맛이다.
19,깔끔하다
20,일반 생맥주나 캔맥주보다 맥주맛이 덜나고 순해서 마시기 편하다
21,심플하다
22,디자인이 이쁨
23,맛있어서
24,맛이 독특하고 맛있다
25,흑맥주중에서도 저렴하고    맛이 덜씀
26,거품이 부드럽고 목넘김이 좋다. 향또한 마찬가지
27,맛있어서.
28,쌉싸릅한 흑맥주  부드러운 거품
29,레몬맛이 맛있음
30,부드러운 목넘김
31,맛이 부드럽고 끝맛이 좋음
32,먹기 부담스럽지 않고 쉽게 먹을 수 있다
33,시원한느낌이 좋아요.
34,맛잇는 맥주라서 카스를 먹게된다.
35,거품 엔젤링때문에
36,맥주의 맛이 좋아서
37,부드러운 목넘김때문에
38,맛있어요
39,선전에 공유가 나와서
40,맛있기 때문에
41,맥주가 부드럽고 쓴맛이 거의 없다
42,똑쏘는 맛
43,맛있다
44,특유의 향과 맛이 일품이다
45,톡 쏘는 맛이 매력적이다  뒷맛이 개운하다  맛있다  계속 먹고싶다
46,맥주가 시원하다. 맛도 좋을 뿐 아니라 이미지도 좋다. 시원한 느낌이 맥자와 잘 어울리고 나의 삶을 표현해주는 것 같다
47,많이 쓰지않고 맛있어서
48,마실때 목넘김이 다른 맥주들에 비해 톡 쏘기 때문.
49,맛잇어서
50,그냥
51,맛이깔끔하고 입맛에 잘맞는다
52,익숙해서
53,목넘김이 부드럽고 맛이 깔끔하다
54,맛도 맘에들고 시원하고 청량감이 다른 맥주보다 좋습니다     그리고 광고가 많이 나와서 그런 효과도 있는거 같습니다
55,맛이 부드럽다.
56,맛이 산뜻해서
57,싱겁지 않고 목에 톡쏘는 맛?
58,대중적이면서 심플하다
59,목넘김이 부드럽고 맛도 깔끔해서
60,맛이 깔끔하고 탄산의 느낌이 경쾌하다
61,칵테일맛이라서
62,광고에서도많이봤고 맛도 제일괜찮은거같아서
63,알코올 농도가 낮은거 같고 맛있어서 먹기 편함
64,시원하고 더무 쓰지 않다
65,"우선 맛이 좋고, 다양한 종류의 맥주를 선택할 수 있는데 그 중 맛이 없다고 느껴지는 것이 없음. 또한 맥주캔의 디자인도 좋음."
66,"이름이 마음에 들고, 저렴하고 깔끔하다."
67,상큼하고 맛이 깔끕하다
68,맛이 산토리가 제입맛에는 제일났습니다 상표보다는 딱히 맛히 좋아요 병모양도 생긴게 좋고
69,값도 싸고 맛도 좋다.
70,부드러운 맛이 인상적이어서...
71,맥주 맛이 좋아서
72,맛있다
73,맛이 순하다
74,술같지 않아서 가볍게 마시기 좋다
75,구입하기 편하고 가격대비 품질이 조타
76,씨에프도 자주 나오고 맛도 그런대로 괜찮고 상점에 가도 자주 접할 수 있어서 입니다
77,진한맛
78,시원해 보이고.. 선전도 경쾌하고 좋아서..
79,예전부터 먹어왔던 브랜드이고 맛이 좋다
80,맛이 입맛에 맞음
81,맛있어서
82,"정확한 이유는 없으며, 예전부터 하이트만 먹어왔음"
83,순한맛
84,뒷맛이 깔끔하다
