KEY,doc,raw_doc_tu
2_0,씁쓸한 맛이 좋다,씁쓸 맛
2_1,톡쏘는 느낌이 좋다,느낌
3,시원함,시원
4,칼로리가 낮아서 많은 양을 먹어도 무리가 없음 맥주를 많이 마시는 편이기 때문에 배가 안 부른 맥주가 좋음,칼로리 양 무리 맥주 마시 편 때문 배 부르 맥주
5_0,칼로리 걱정을 조금 덜 할 수 있고,칼로리 걱정 수
5_1,가볍게 마시기 참 좋다,가볍 마시
6,레몬맛이 좋아서,레몬 맛
7_0,내가 좋아하는 맛이다,내 좋아하 맛
7_1,맥주의 고소한 맛과 탄산이 적절하게 들어가있다,맥주 고소 맛 탄산 적절 들어가
8,가벼운맛,가볍 맛
9,맛이 깔끔함,맛 깔끔
10,다른 맥주와 차별화 된 맛,맥주 차별 맛
11_0,브랜드 이미지 즉 젊은 남자의 이미지를 가졌으며 맛또한 뛰어나다,브랜드 이미지 젊은 남자 이미지 가지 맛 뛰어나
11_1,특히 깔끔한 뒷맛이 좋다,깔끔 뒷맛
12,맥주거품맛이 부드럽다,맥주 거품 맛 부드럽
13,부드러워서,부드럽
14,맛있어요,맛있
15,목넘김이 부드러워서,목 넘기 부드럽
16,맛이있어서,맛
17,톡쏘는 맛이 좋아서,맛
18_0,맛을 좋아해서 그 상표를 찾는다,맛 좋아하 상표
18_1,페트병맥주중에서는 선호 하는 맛이다,페트병 맥주 중 선호 맛
19,깔끔하다,깔끔
20_0,일반 생맥주나 캔맥주보다,일반 맥주 캔 맥주
20_1,맥주맛이 덜나고,맥주 맛
20_2,순해서 마시기 편하다,순 마시 편하
21,심플하다,심플
22,디자인이 이쁨,디자인 이쁘
23,맛있어서,맛있
24_0,맛이 독특하고,맛 독특
24_1,맛있다,맛있
25_0,흑맥주중에서도 저렴하고,흑 맥주 중 저렴
25_1,맛이 덜씀,맛
26_0,거품이 부드럽고,거품 부드럽
26_1,목넘김이 좋다,목 넘기
26_2,향또한 마찬가지,향 마찬가지
27,맛있어서 ,맛있
28,쌉싸릅한 흑맥주 부드러운 거품 ,흑 맥주 부드럽 거품
29,레몬맛이 맛있음,레몬 맛 맛있
30,부드러운 목넘김,부드럽 목 넘기
31_0,맛이 부드럽고,맛 부드럽
31_1,끝맛이 좋음,끝 맛
32_0,먹기 부담스럽지 않고,부담
32_1,쉽게 먹을 수 있다,수
33,시원한느낌이 좋아요,시원 느낌이 좋아
34,맛잇는 맥주라서 카스를 먹게된다,맛 맥주 카스
35,거품 엔젤링때문에,거품 엔젤 링 때문
36,맥주의 맛이 좋아서,맥주 맛
37,부드러운 목넘김때문에,부드럽 목 넘기 때문
38,맛있어요,맛있
39,선전에 공유가 나와서,선전 공유 나오
40,맛있기 때문에,맛있 때문
41_0,맥주가 부드럽고,맥주 부드럽
41_1,쓴맛이 거의 없다,쓴맛
42,똑쏘는 맛,맛
43,맛있다,맛있
44,특유의 향과 맛이 일품이다,특유 향 맛 일품
45_0,톡 쏘는 맛이 매력적이다,맛 매력
45_1,뒷맛이 개운하다,뒷맛 개운
45_2,맛있다,맛있
46_0,맥주가 시원하다,맥주 시원
46_1,맛도 좋을 뿐 아니라 이미지도 좋다,맛 뿐 이미지
46_2,시원한 느낌이 맥자와 잘 어울리고,시원 느낌 맥 자 어울리
46_3,나의 삶을 표현해주는 것 같다,나 삶 표현 것
47_1,맛있어서,맛있
48,마실때 목넘김이 다른 맥주들에 비해 톡 쏘기 때문,마실 때 목 넘기 맥주 비하 때문
49,맛잇어서,맛
51_0,맛이깔끔하고,맛 깔끔
51_1,입맛에 잘맞는다,입맛
52,익숙해서,익숙
53_0,목넘김이 부드럽고,목 넘기 부드럽
53_1,맛이 깔끔하다,맛 깔끔
54_0,맛도 맘에들고,맛 맘
54_1,시원하고,시원
54_2,청량감이 다른 맥주보다,청량감 맥주
54_5,광고가 많이 나와서 그런 효과도 있는거 같습니다,광고 나오 효과 거
55,맛이 부드럽다,맛 부드럽
56,맛이 산뜻해서,맛 산뜻
57_0,싱겁지 않고,싱겁
57_1,목에 톡쏘는 맛,목 맛
