KEY,doc,raw_doc_tu
2,씁쓸한 맛이 좋다. 톡쏘는 느낌이 좋다.,씁쓸 맛 느낌
3,시원함,시원
4,칼로리가 낮아서 많은 양을 먹어도 무리가 없음    맥주를 많이 마시는 편이기 때문에 배가 안 부른 맥주가 좋음,칼로리 양 무리 맥주 마시 편 때문 배 부르 맥주
5,칼로리 걱정을 조금 덜 할 수 있고 가볍게 마시기 참 좋다,칼로리 걱정 수 가볍 마시
6,레몬맛이 좋아서,레몬 맛
7,내가 좋아하는 맛이다. 맥주의 고소한 맛과 탄산이 적절하게 들어가있다.,내 좋아하 맛 맥주 고소 맛 탄산 적절 들어가
8,가벼운맛,가볍 맛
9,맛이 깔끔함,맛 깔끔
10,다른 맥주와 차별화 된 맛.,맥주 차별 맛
11,"브랜드 이미지, 즉 젊은 남자의 이미지를 가졌으며 맛또한 뛰어나다 특히 깔끔한 뒷맛이 좋다",브랜드 이미지 젊은 남자 이미지 가지 맛 뛰어나 깔끔 뒷맛
12,맥주거품맛이 부드럽다,맥주 거품 맛 부드럽
13,부드러워서,부드럽
14,맛있어요,맛있
15,목넘김이 부드러워서,목 넘기 부드럽
16,맛이있어서,맛
17,톡쏘는 맛이 좋아서,맛
18,맛을 좋아해서 그 상표를 찾는다. 페트병맥주중에서는 선호 하는 맛이다.,맛 좋아하 상표 페트병 맥주 중 선호 맛
19,깔끔하다,깔끔
20,일반 생맥주나 캔맥주보다 맥주맛이 덜나고 순해서 마시기 편하다,일반 맥주 캔 맥주 맥주 맛 순 마시 편하
21,심플하다,심플
22,디자인이 이쁨,디자인 이쁘
23,맛있어서,맛있
24,맛이 독특하고 맛있다,맛 독특 맛있
25,흑맥주중에서도 저렴하고    맛이 덜씀,흑 맥주 중 저렴 맛
26,거품이 부드럽고 목넘김이 좋다. 향또한 마찬가지,거품 부드럽 목 넘기 향 마찬가지
27,맛있어서.  ,맛있
28,쌉싸릅한 흑맥주  부드러운 거품  ,흑 맥주 부드럽 거품
29,레몬맛이 맛있음,레몬 맛 맛있
30,부드러운 목넘김,부드럽 목 넘기
31,맛이 부드럽고 끝맛이 좋음,맛 부드럽 끝 맛
32,먹기 부담스럽지 않고 쉽게 먹을 수 있다,부담 수
33,시원한느낌이 좋아요.,시원 느낌
34,맛잇는 맥주라서 카스를 먹게된다.,맛 맥주 카스
35,거품 엔젤링때문에,거품 엔젤 링 때문
36,맥주의 맛이 좋아서,맥주 맛
37,부드러운 목넘김때문에,부드럽 목 넘기 때문
38,맛있어요,맛있
39,선전에 공유가 나와서,선전 공유 나오
40,맛있기 때문에,맛있 때문
41,맥주가 부드럽고 쓴맛이 거의 없다,맥주 부드럽 쓴맛
42,똑쏘는 맛,맛
43,맛있다,맛있
