no,응답값,코딩값-1,코딩값-2,코딩값-3,코딩 숫자화-1,코딩 숫자화-2,코딩 숫자화-3
2,씁쓸한 맛이 좋다. 톡쏘는 느낌이 좋다.,맛이 쌉싸름하다,톡 쏘는 맛이 있다,,113,104,
3,시원함,시원하다,,,2,,
4,칼로리가 낮아서 많은 양을 먹어도 무리가 없음    맥주를 많이 마시는 편이기 때문에 배가 안 부른 맥주가 좋음,칼로리가 적다/다이어트에 좋다,포만감이 덜 하다,,46,12,
5,칼로리 걱정을 조금 덜 할 수 있고 가볍게 마시기 참 좋다,칼로리가 적다/다이어트에 좋다,가볍게/무난하게/부담 없이 마실 수 있다,,46,601,
6,레몬맛이 좋아서,레몬 맛이 난다,,,111,,
7,내가 좋아하는 맛이다. 맥주의 고소한 맛과 탄산이 적절하게 들어가있다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,맛이 고소하다,탄산이 적당하다,107,116,110
8,가벼운맛,맛이 가볍다,,,51,,
9,맛이 깔끔함,맛이 깔끔하다,,,102,,
10,다른 맥주와 차별화 된 맛.,맛이 독특하다/맛이 차별화됐다,,,117,,
11,"브랜드 이미지, 즉 젊은 남자의 이미지를 가졌으며 맛또한 뛰어나다 특히 깔끔한 뒷맛이 좋다",브랜드가 좋다/브랜드 이미지가 좋다,이미지가 젊다/젊은 층이 많이 마신다,남성적이다,19,504,6
12,맥주거품맛이 부드럽다,거품이 부드럽다,,,183,,
13,부드러워서,부드럽다,,,14,,
14,맛있어요,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
15,목넘김이 부드러워서,목 넘김이 부드럽다 ,,,171,,
16,맛이있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
17,톡쏘는 맛이 좋아서,톡 쏘는 맛이 있다,,,104,,
18,맛을 좋아해서 그 상표를 찾는다. 페트병맥주중에서는 선호 하는 맛이다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
19,깔끔하다,깔끔하다,,,1,,
20,일반 생맥주나 캔맥주보다 맥주맛이 덜나고 순해서 마시기 편하다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,마시기 편하다,,112,613,
21,심플하다,심플하다,,,41,,
22,디자인이 이쁨,디자인이 예쁘다,,,253,,
23,맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
24,맛이 독특하고 맛있다,맛이 독특하다/맛이 차별화됐다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,117,107,
25,흑맥주중에서도 저렴하고    맛이 덜씀,가격이 저렴하다 ,쓴 맛이 덜 하다,,11,119,
26,거품이 부드럽고 목넘김이 좋다. 향또한 마찬가지,거품이 부드럽다,목 넘김이 좋다 ,향이 좋다,183,173,204
27,맛있어서.  ,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
28,쌉싸릅한 흑맥주  부드러운 거품  ,맛이 쌉싸름하다,거품이 부드럽다,,113,183,
29,레몬맛이 맛있음,레몬 맛이 난다,,,111,,
30,부드러운 목넘김,목 넘김이 부드럽다 ,,,171,,
31,맛이 부드럽고 끝맛이 좋음,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,뒷맛이 좋다,,112,151,
32,먹기 부담스럽지 않고 쉽게 먹을 수 있다,가볍게/무난하게/부담 없이 마실 수 있다,마시기 편하다,,601,613,
33,시원한느낌이 좋아요.,시원하다,,,2,,
34,맛잇는 맥주라서 카스를 먹게된다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
35,거품 엔젤링때문에,엔젤링,,,581,,
36,맥주의 맛이 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
37,부드러운 목넘김때문에,목 넘김이 부드럽다 ,,,171,,
38,맛있어요,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
39,선전에 공유가 나와서,광고 모델이 좋다 ,,,303,,
40,맛있기 때문에,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
41,맥주가 부드럽고 쓴맛이 거의 없다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,쓴 맛이 덜 하다,,112,119,
42,똑쏘는 맛,톡 쏘는 맛이 있다,,,104,,
43,맛있다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
44,특유의 향과 맛이 일품이다,맥주 특유의 향이 살아있다,맥주 기본/특유의 맛이 잘 살아있다,,209,54,
45,톡 쏘는 맛이 매력적이다  뒷맛이 개운하다  맛있다  계속 먹고싶다  ,톡 쏘는 맛이 있다,뒷맛이 개운하다 ,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,104,495,107
46,맥주가 시원하다. 맛도 좋을 뿐 아니라 이미지도 좋다. 시원한 느낌이 맥자와 잘 어울리고 나의 삶을 표현해주는 것 같다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,브랜드가 좋다/브랜드 이미지가 좋다,103,107,19
47,많이 쓰지않고 맛있어서,쓴 맛이 덜 하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,119,107,
48,마실때 목넘김이 다른 맥주들에 비해 톡 쏘기 때문.,목 넘김이 짜릿하다,,,176,,
49,맛잇어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
50,그냥,모름,,,999,,
51,맛이깔끔하고 입맛에 잘맞는다,맛이 깔끔하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,102,107,
52,익숙해서,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
53,목넘김이 부드럽고 맛이 깔끔하다,목 넘김이 부드럽다 ,맛이 깔끔하다,,171,102,
54,맛도 맘에들고 시원하고 청량감이 다른 맥주보다 좋습니다     그리고 광고가 많이 나와서 그런 효과도 있는거 같습니다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,107,103,103
55,맛이 부드럽다.,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
56,맛이 산뜻해서,맛이 산뜻하다/맛이 상큼하다,,,118,,
57,싱겁지 않고 목에 톡쏘는 맛?,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,톡 쏘는 맛이 있다,,115,104,
58,대중적이면서 심플하다,대중적/보편적이다,심플하다,,22,41,
59,목넘김이 부드럽고 맛도 깔끔해서,목 넘김이 부드럽다 ,맛이 깔끔하다,,171,102,
60,맛이 깔끔하고 탄산의 느낌이 경쾌하다,맛이 깔끔하다,탄산이 풍부하다,,102,61,
61,칵테일맛이라서,칵테일 맛이다,,,545,,
62,광고에서도많이봤고 맛도 제일괜찮은거같아서,광고를 많이 한다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,302,107,
63,알코올 농도가 낮은거 같고 맛있어서 먹기 편함,도수가 낮아 좋다/잘 취하지 않는다/알코올 함유량이 낮다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,84,107,
64,시원하고 더무 쓰지 않다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,쓴 맛이 덜 하다,,103,119,
65,"우선 맛이 좋고, 다양한 종류의 맥주를 선택할 수 있는데 그 중 맛이 없다고 느껴지는 것이 없음. 또한 맥주캔의 디자인도 좋음.",맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,맛이 다양하다,디자인이 좋다,107,114,254
66,"이름이 마음에 들고, 저렴하고 깔끔하다.",브랜드 명이 예쁘다/브랜드 명이 좋다/상표가 매력적이다/상표가 귀엽다/브랜드 어감이 좋다,가격이 저렴하다 ,깔끔하다,370,11,1
67,상큼하고 맛이 깔끕하다,상큼하다/산뜻하다,맛이 깔끔하다,,29,102,
68,맛이 산토리가 제입맛에는 제일났습니다 상표보다는 딱히 맛히 좋아요 병모양도 생긴게 좋고,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,디자인이 좋다,107,107,254
69,값도 싸고 맛도 좋다.,가격이 저렴하다 ,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,11,107,
70,부드러운 맛이 인상적이어서...,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
71,맥주 맛이 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
72,맛있다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
73,맛이 순하다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
74,술같지 않아서 가볍게 마시기 좋다,가볍게/무난하게/부담 없이 마실 수 있다,,,601,,
75,구입하기 편하고 가격대비 품질이 조타,구입이 용이하다,품질이 우수하다,,21,124,
76,씨에프도 자주 나오고 맛도 그런대로 괜찮고 상점에 가도 자주 접할 수 있어서 입니다,광고를 많이 한다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,구입이 용이하다,302,107,21
77,진한맛,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,,,115,,
78,시원해 보이고.. 선전도 경쾌하고 좋아서..,시원하다,광고가 좋다/광고 이미지가 좋다,,2,301,
79,예전부터 먹어왔던 브랜드이고 맛이 좋다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,3,107,
80,맛이 입맛에 맞음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
81,맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
82,"정확한 이유는 없으며, 예전부터 하이트만 먹어왔음",친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
83,순한맛,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
84,뒷맛이 깔끔하다,뒷맛이 깔끔하다,,,153,,
85,시원한느낌.저칼로리,시원하다,칼로리가 적다/다이어트에 좋다,,2,46,
86,"광고를보고나서,신뢰성이가는 느낌때문에,..",광고가 좋다/광고 이미지가 좋다,신뢰가 간다,,301,25,
87,진하고 좋습니다.,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,115,107,
88,마실때의 풍미가 느껴짐  ,풍미가 좋다,,,533,,
89,맛있다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
90,"맛있고 약간 달콤한 맛이 나며, 거품이 부드럽다.",맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,달콤하다/꿀맛이 난다,거품이 부드럽다,107,108,183
91,맛이 깔끔해서,맛이 깔끔하다,,,102,,
92,젊고 매력적이다,이미지가 젊다/젊은 층이 많이 마신다,끌린다,,504,885,
93,우선맥주맛이좋아서호감이가고 칼로리가 적다는 것을 어필하는 상표라서좋음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,칼로리가 적다/다이어트에 좋다,,107,46,
94,하이트 맥주를 즐겨마신다,브랜드가 좋다/브랜드 이미지가 좋다,,,19,,
95,기억하기가 쉽다,브랜드가 기억에 남는다/브랜드 명이 귀에 쏙 들어온다,,,369,,
96,일단 칼로리가 낮으면서 맛도 나쁘지 않음,칼로리가 적다/다이어트에 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,46,107,
97,순한 넘김,목 넘김이 부드럽다 ,,,171,,
98,맛있어서...,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
99,익숙하고 맛이 시원함.,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,3,103,
100,친구들과 많이 먹어 친근함,주변 사람들과 함께 마시기 좋다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,831,3,
101,호가든 맥주를 좋아하기때문에,브랜드가 좋다/브랜드 이미지가 좋다,,,19,,
102,부드러운 맛,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
103,깔끔한 맛,맛이 깔끔하다,,,102,,
104,광고를 가장 많이 접하였고 일반적으로 술집에서 가장 쉽게 접할수 있습니다. 편하게 시켜서 마실수 있는 맥주로 자리 잡은거 같습니다.,광고를 많이 한다,구입이 용이하다,마시기 편하다,302,21,613
105,자주 찾는 맥주라서,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
106,"하이트에 대해서는 사실 큰 관심이 없었지만, 최근 김연아 선수가 광고를 하면서 하이트의 이미지가 좋아짐.",광고 모델이 좋다 ,,,303,,
107,흰색 배경에 노란색 별모양이 눈에 확들어옴,별 모양이 시선을 끈다,,,689,,
108,맥주가 맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
109,맛있음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
110,톡쏘는 맛이 깔끔하고 좋다.  그리고 광고모델도 좋아해서 선호한다.,톡 쏘는 맛이 있다,맛이 깔끔하다,광고 모델이 좋다 ,104,102,303
111,부드럽고 고급스런 이미지,부드럽다,고급스럽다,,14,15,
112,고소한 맛,맛이 고소하다,,,116,,
113,맛이 깨끗하다,맛이 깔끔하다,,,102,,
114,오래전부터 마셔왔던거고 주변에서 쉽게 접할수있다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,구입이 용이하다,,3,21,
